1642685280000,41981.92000000,42012.88000000,41981.91000000,42010.00000000,15.41643000,1642685339999,647438.45460420,421,11.94931000,501802.67003490,0
1642685340000,42010.00000000,42050.00000000,42010.00000000,42037.41000000,16.38587000,1642685399999,688827.70647130,502,8.01817000,337056.63280770,0
1642685400000,42037.42000000,42071.00000000,42033.56000000,42066.67000000,19.93564000,1642685459999,838323.72079200,560,10.59189000,445418.42196920,0
1642685460000,42066.67000000,42120.00000000,42057.57000000,42119.43000000,19.62505000,1642685519999,825797.06849200,762,11.94023000,502482.70442170,0
1642685520000,42120.00000000,42280.00000000,42119.43000000,42228.94000000,124.84656000,1642685579999,5269203.33503640,2958,77.05212000,3251450.31199860,0
1642685580000,42229.00000000,42275.70000000,42186.97000000,42275.00000000,41.84859000,1642685639999,1767402.20790500,965,28.64471000,1209711.86050470,0
1642685640000,42275.00000000,42381.24000000,42259.47000000,42345.48000000,158.29518000,1642685699999,6700077.12104580,2952,107.29321000,4541175.70406320,0
1642685700000,42345.47000000,42441.82000000,42333.00000000,42412.66000000,132.14538000,1642685759999,5603758.76951280,2777,77.16461000,3272152.72467770,0
1642685760000,42412.66000000,42429.99000000,42360.24000000,42385.30000000,72.21140000,1642685819999,3060709.45812750,1355,38.35019000,1625466.18802820,0
1642685820000,42386.00000000,42424.26000000,42375.91000000,42378.38000000,51.94630000,1642685879999,2202480.29265310,1111,14.55217000,616986.44678370,0
1642685880000,42378.38000000,42382.18000000,42309.72000000,42327.92000000,30.35795000,1642685939999,1285254.08870860,1132,13.25103000,560984.33569180,0
1642685940000,42327.92000000,42400.00000000,42316.11000000,42365.35000000,31.95044000,1642685999999,1353808.81891160,1048,17.37284000,736084.09654900,0
1642686000000,42365.00000000,42410.02000000,42364.33000000,42410.02000000,42.01308000,1642686059999,1780577.75842790,945,32.72670000,1387041.90569470,0
1642686060000,42410.02000000,42418.40000000,42372.58000000,42400.33000000,30.47526000,1642686119999,1292142.17366950,983,13.94711000,591334.76671490,0
1642686120000,42402.02000000,42419.63000000,42371.48000000,42387.73000000,33.79853000,1642686179999,1433050.31069770,897,13.68304000,580128.34368980,0
1642686180000,42388.98000000,42422.23000000,42387.73000000,42398.31000000,103.34912000,1642686239999,4382928.50728500,939,81.48285000,3455561.15195340,0
1642686240000,42398.31000000,42409.32000000,42389.50000000,42409.32000000,34.32098000,1642686299999,1455351.30786430,695,20.42459000,866099.80331150,0
1642686300000,42409.32000000,42431.55000000,42368.04000000,42409.29000000,74.64932000,1642686359999,3165657.80436940,1103,56.80874000,2409125.27491040,0
1642686360000,42409.29000000,42427.46000000,42377.25000000,42420.93000000,32.78138000,1642686419999,1390326.55795410,757,21.59210000,915824.23700770,0
